date,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,label
2015-08-20 00:00:00,26.6,21.3,22.768055555555563,34.0,0.0,25.2,1.8000000000000007,-4.399999999999999,-5.300000000000001,8,25.0,31.7,4.116666666666788,0
2015-08-21 00:00:00,29.3,20.9,23.227777777777774,33.0,6.1000000000000005,27.3,4.5,-7.5,-8.400000000000002,10,23.6,29.2,0.6999999999999318,0
2015-08-22 00:00:00,28.0,21.8,23.891666666666666,36.0,4.8999999999999995,26.0,4.399999999999999,-6.100000000000001,-6.199999999999999,9,23.3,28.7,-3.066666666666606,0
2015-08-23 00:00:00,28.2,22.3,24.49583333333334,24.5,7.6000000000000005,28.8,3.1999999999999993,-6.399999999999999,-5.899999999999999,12,22.1,26.6,-3.7500000000001137,0
2015-08-24 00:00:00,31.0,18.4,24.55416666666667,3.5,11.7,30.1,3.1000000000000014,-9.399999999999999,-12.600000000000001,14,20.4,23.9,-2.75,0
2015-08-28 00:00:00,26.4,18.9,21.78194444444445,144.5,10.3,26.5,3.0,-7.899999999999999,-7.5,14,16.7,19.0,5.100000000000023,0
2015-08-29 00:00:00,25.6,19.0,21.558333333333337,19.5,2.5,23.3,4.899999999999999,-6.0,-6.600000000000001,10,20.5,24.1,4.933333333333167,0
2015-08-30 00:00:00,21.7,18.4,21.24722222222222,39.0,0.0,20.9,1.9000000000000021,-3.1999999999999993,-3.3000000000000007,1,22.1,26.7,2.9166666666667425,0
2015-08-31 00:00:00,25.9,19.8,21.17083333333333,44.0,0.3,24.2,2.1999999999999993,-4.899999999999999,-6.099999999999998,10,22.0,26.5,4.266666666666765,0
2015-09-01 00:00:00,24.3,19.7,21.275,61.0,0.0,23.4,1.6000000000000014,-3.6999999999999993,-4.600000000000001,1,23.6,29.2,1.4500000000000455,0
2015-09-02 00:00:00,20.8,20.8,21.49722222222222,62.0,0.3,20.9,2.5,1.5,0.0,1,22.0,26.5,0.1999999999999318,0
2015-09-03 00:00:00,21.3,19.5,21.01944444444444,61.0,0.1,20.9,3.700000000000003,-2.3000000000000007,-1.8000000000000007,8,21.3,25.4,4.283333333333303,0
2015-09-04 00:00:00,25.6,19.1,21.034722222222214,57.5,5.8999999999999995,25.4,3.1000000000000014,-7.0,-6.5,10,21.8,26.1,0.06666666666683341,0
2015-09-05 00:00:00,24.5,19.5,21.4861111111111,18.0,7.8999999999999995,26.0,3.3000000000000007,-7.400000000000002,-5.0,10,18.7,21.6,-0.38333333333332575,0
2015-09-06 00:00:00,24.7,16.5,21.58749999999999,16.0,2.9,23.1,3.599999999999998,-5.300000000000001,-8.2,9,19.3,22.4,-1.7999999999999545,0
2015-09-07 00:00:00,24.3,18.5,21.165277777777778,55.5,0.2,23.0,5.600000000000001,-6.899999999999999,-5.800000000000001,12,23.1,28.2,-9.033333333333417,0
2015-09-08 00:00:00,22.1,18.8,20.444444444444446,56.0,0.7,20.8,6.599999999999998,-7.5,-3.3000000000000007,1,18.4,21.2,-2.8666666666666742,0
2015-09-09 00:00:00,22.2,17.9,20.11666666666667,54.0,2.2,21.1,6.0,-7.300000000000001,-4.300000000000001,0,17.9,20.4,0.4833333333332348,0
2015-09-10 00:00:00,20.2,18.6,19.786111111111108,1.5,0.2,20.1,5.099999999999998,-4.199999999999999,-1.5999999999999979,15,18.4,21.2,1.8000000000000682,0
2015-09-11 00:00:00,23.7,17.9,19.64027777777778,1.0,7.3,23.3,4.399999999999999,-6.599999999999998,-5.800000000000001,14,16.4,18.6,3.1166666666666742,0
2015-09-12 00:00:00,26.2,12.5,19.158333333333324,1.0,11.6,25.9,2.3000000000000007,-11.7,-13.7,10,13.0,14.9,2.033333333333303,0
2015-09-13 00:00:00,25.2,13.1,18.941666666666666,0.0,6.2,23.9,3.5,-9.0,-12.1,10,16.4,18.6,1.5666666666664923,0
2015-09-14 00:00:00,23.1,16.5,18.83194444444444,0.0,7.800000000000002,23.6,3.5,-6.800000000000001,-6.600000000000001,12,14.5,16.5,4.149999999999977,0
2015-09-15 00:00:00,22.7,11.6,18.201388888888896,0.0,4.2,21.5,5.0,-9.899999999999999,-11.1,14,15.9,18.0,5.93333333333328,0
2015-09-16 00:00:00,22.0,12.8,17.769444444444442,0.0,1.6,20.9,3.900000000000002,-7.300000000000001,-9.2,4,19.6,22.9,3.566666666666606,0
2015-09-17 00:00:00,20.3,17.8,17.45555555555556,12.0,0.0,19.4,2.3000000000000007,-1.4000000000000021,-2.5,14,20.0,23.4,0.08333333333337123,0
2015-09-18 00:00:00,19.9,16.8,18.147222222222222,32.0,2.5,19.6,8.7,-9.5,-3.099999999999998,10,19.8,23.1,-3.766666666666765,0
2015-09-19 00:00:00,23.2,17.9,18.713888888888892,32.0,3.4,22.2,5.800000000000001,-8.099999999999998,-5.300000000000001,1,16.0,18.2,-2.800000000000068,0
2015-09-21 00:00:00,25.0,9.5,18.086111111111105,0.0,9.4,24.2,3.8000000000000007,-11.599999999999998,-15.5,14,14.3,16.3,-2.6666666666666288,0
2015-09-22 00:00:00,25.2,13.4,17.795833333333334,0.0,6.6000000000000005,24.8,3.8999999999999986,-9.5,-11.799999999999999,14,15.3,17.3,0.9333333333332803,0
2015-09-23 00:00:00,23.9,11.9,17.909722222222218,0.0,5.1,23.5,5.0,-9.7,-11.999999999999998,15,17.7,20.2,3.0,0
2015-09-24 00:00:00,23.4,16.2,18.83333333333334,7.0,2.3000000000000003,22.5,5.199999999999999,-7.300000000000001,-7.199999999999999,5,17.3,19.7,-3.3999999999999773,0
2015-09-25 00:00:00,26.3,18.2,19.85138888888889,20.0,6.1000000000000005,26.2,3.5,-7.900000000000002,-8.100000000000001,11,20.0,23.4,-7.383333333333212,0
2015-09-26 00:00:00,26.0,19.5,21.204166666666673,20.0,4.699999999999999,24.6,3.3999999999999986,-5.699999999999999,-6.5,14,21.3,25.3,-4.850000000000023,0
2015-09-27 00:00:00,24.0,19.6,21.688888888888897,13.0,2.3000000000000003,23.7,5.800000000000001,-7.400000000000002,-4.399999999999999,15,21.2,25.2,-0.816666666666606,0
2015-09-28 00:00:00,23.9,19.7,21.615277777777784,0.0,4.3999999999999995,23.5,6.100000000000001,-7.5,-4.199999999999999,4,19.9,23.2,3.3333333333332575,0
2015-09-29 00:00:00,25.5,13.4,20.86111111111111,0.0,10.6,24.8,6.399999999999999,-11.399999999999999,-12.1,7,19.6,22.7,6.933333333333394,0
2015-09-30 00:00:00,26.8,17.8,20.509722222222212,0.0,9.0,25.8,2.1999999999999993,-6.0,-9.0,8,15.3,17.4,10.533333333333417,0
2015-10-08 00:00:00,21.1,7.7,14.259722222222223,0.0,10.7,20.9,5.300000000000001,-11.599999999999998,-13.400000000000002,14,9.6,11.9,-4.466666666666697,0
2015-10-09 00:00:00,19.2,6.0,13.405555555555557,0.0,3.5,19.2,3.1000000000000014,-9.1,-13.2,0,11.4,13.5,-5.433333333333167,0
2015-10-10 00:00:00,21.4,5.4,13.215277777777779,0.0,7.9,20.5,3.3999999999999986,-13.1,-15.999999999999998,10,12.9,14.8,-3.733333333333235,0
2015-10-11 00:00:00,17.9,10.9,13.120833333333332,0.0,0.8999999999999999,17.2,3.400000000000002,-5.799999999999999,-6.999999999999998,8,12.3,14.3,-1.0500000000000682,0
2015-10-12 00:00:00,16.4,13.7,13.341666666666661,1.5,4.1,16.2,3.8000000000000007,-4.300000000000001,-2.6999999999999993,13,7.4,10.3,2.949999999999932,0
2015-10-13 00:00:00,15.8,9.2,13.038888888888884,1.5,1.4000000000000004,15.6,4.799999999999999,-9.2,-6.600000000000001,12,11.1,13.2,3.8333333333333712,0
2015-10-14 00:00:00,18.4,10.2,12.668055555555556,1.5,8.9,17.8,3.3999999999999986,-9.900000000000002,-8.2,14,8.1,10.8,4.533333333333303,0
2015-10-15 00:00:00,22.7,2.7,12.068055555555558,0.0,10.5,21.6,2.299999999999997,-14.100000000000001,-20.0,15,8.7,11.3,2.683333333333394,0
2015-10-17 00:00:00,23.2,8.1,12.99722222222222,0.0,8.799999999999999,22.1,3.3999999999999986,-13.299999999999999,-15.1,13,12.0,14.0,-1.8999999999998636,0
2015-10-18 00:00:00,22.5,7.7,13.916666666666671,0.0,10.4,21.6,4.399999999999999,-13.000000000000002,-14.8,15,12.1,14.1,-1.8833333333333258,0
2015-10-22 00:00:00,23.7,9.1,14.629166666666663,0.0,9.700000000000001,22.3,4.599999999999998,-13.7,-14.6,14,14.0,16.0,0.13333333333343944,0
2015-10-25 00:00:00,23.9,10.8,15.029166666666672,0.0,7.699999999999999,22.4,3.8000000000000007,-11.799999999999999,-13.099999999999998,13,9.6,11.9,0.683333333333394,0
2015-10-26 00:00:00,18.6,13.2,14.820833333333335,0.0,10.1,17.5,5.800000000000001,-9.5,-5.400000000000002,2,2.2,7.2,3.316666666666606,0
